style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
264,2026-05-31,APA,AU000000APA1,24253601W,,,-0.00033206523386040276,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,,,,,,,,-0.0012729167297982106,,0.0009267259873844713,,0.0006651276606152812,,-0.0010857230930631796,,,-0.00046433440458047936,,0.0011476036838595266,,,-0.0006552884940381321,,0.0012952486022508108,,0.0010547024332613745,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,,-0.0022600766427029453,-0.0014382305908109652,,0.0010206797741239108,-0.00013422826349432436
265,2026-05-31,APD,US0091581068,00120901,,-0.0003865401587868912,-0.00033206523386040276,,-0.0005187061147187088,,,0.0016406482295176937,,-0.0006364583648991053,,-0.0009385064024783416,,,-0.0005859457962563192,-0.0005375910460798267,,,,,,-0.00023562501168605175,,,,,,-0.001942872903376216,-0.00046433440458047936,-0.0006671310571833996,,,,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,-0.0005782963733286909,-0.0005798102381803368,,-0.0014107484776107557,-0.0022600766427029453,,-0.0006836034289657057,,-0.0002263348959404107
266,2026-05-31,APH,US0320951017,01428201,,,,,-0.0005187061147187088,,,,0.00303407549294368,0.0024339286921416336,,,,,0.0011300383213514727,,,-0.0011596204763606737,,,,-0.00023562501168605175,,,,,,,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,0.0014765834065659244,0.002734413715862823,,,,,,,,,,,0.0002511354380370456
267,2026-05-31,APO,US03769M1062,18425401,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,0.0011416882009530342,0.0016406482295176937,,,0.0006382925388613506,,-0.0011074375549244432,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,0.0009190353152899943,,,0.0010648438028119647,0.0011300383213514727,,,,-0.00034934938641149627,-0.0003578150419788185,,-0.0009546875473486579,-0.00120373647274396,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,,,-0.0014382305908109652,,0.0010206797741239108,-0.0001352506171351127
268,2026-05-31,APP,US03831W1080,03821201,0.0025169035339191893,0.0011476036838595266,,,,0.0025169035339191893,,-0.0005607278759111105,0.00303407549294368,0.0024339286921416336,,0.002734413715862823,-0.0011074375549244432,,-0.0005859457962563192,,,0.004520153285405891,,,0.0012656429199136494,0.0009267259873844713,,,,,,,,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,0.0012952486022508108,0.0010301744696971564,,0.0014765834065659244,0.002734413715862823,-0.00120373647274396,,,0.0011300383213514727,,,,,,0.0010206797741239108,0.0005003106036780187
269,2026-05-31,APTV,JE00BTDN8H13,11812204,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,-0.0025169035339191893,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,-0.0011074375549244432,,-0.0005859457962563192,-0.0005375910460798267,,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,,0.0029930744727687656,0.001942872903376216,0.0009190353152899943,-0.0006671310571833996,,,,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,-0.0009546875473486579,,,,,,,,,0.0013423485514235676,,-0.0002342184476637641
270,2026-05-31,ARES,US03990B1017,02041201,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,,,,,,,,-0.0005375910460798267,,,,,,-0.00023562501168605175,,,,,,,,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,0.002734413715862823,-0.00120373647274396,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-0.00015238752517280968
271,2026-05-31,ARGX,NL0010832176,31800501W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,,,0.00303407549294368,,,,-0.0011074375549244432,-0.0018457292582074053,0.0011300383213514727,-0.0005375910460798267,-0.0008295412396437777,0.004520153285405891,-0.0008326598157326641,,-0.0012584517669595946,-0.00023562501168605175,-0.0007457491952353153,0.0006651276606152812,,,0.0029930744727687656,0.001942872903376216,,0.001318378041576718,0.0011476036838595266,,0.0011300383213514727,,,0.0012952486022508108,,,,,,-0.001118623792852973,-0.0005782963733286909,0.0011300383213514727,-0.0007508051219826733,,,,-0.0006836034289657057,-0.0010301744696971564,-0.0001800443737226833
272,2026-05-31,ARX,CA00208D4084,10523901C,,,,,,,0.0011416882009530342,0.0016406482295176937,,,-0.001893055649443493,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,-0.001977567062365077,,,,,,,,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,-0.005402134414265577,,,,0.0014765834065659244,,,,,0.0011300383213514727,,,,,,,-3.821068201149969e-05
273,2026-05-31,ASM,NL0000334118,00116601W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,,,-0.0003865401587868912,0.0016406482295176937,0.00303407549294368,-0.0006364583648991053,,-0.0009385064024783416,-0.0011074375549244432,-0.0018457292582074053,,,,0.004520153285405891,,,,0.0009267259873844713,,,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,,,,,,,-0.0010301744696971564,2.901950328507851e-05
274,2026-05-31,ASML,NL0010273215,06121401W,,,,,,,-0.0003865401587868912,0.0016406482295176937,0.00303407549294368,0.0024339286921416336,,-0.0009385064024783416,,-0.0018457292582074053,,,,0.004520153285405891,,0.0012656429199136494,,-0.00023562501168605175,,,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,,-0.0005738018419297633,,,,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,,-5.906358957894744e-05
275,2026-05-31,ASRNL,NL0011872643,01551203W,,0.0011476036838595266,,,,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,0.0011019279153477047,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,-0.0010857230930631796,,,0.0009190353152899943,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-0.00019713185422809068
276,2026-05-31,ASSA B,SE0007100581,22349201W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,-0.00046433440458047936,,,,,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,-0.0005798102381803368,,,,,0.0013423485514235676,,-1.8428479973311208e-05
277,2026-05-31,ASTS,US00217D1000,03859801,,,0.00098003323444641,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,,-0.0006364583648991053,,-0.0009385064024783416,,-0.0018457292582074053,-0.0005859457962563192,,-0.0008295412396437777,,0.001652891873021557,,,0.0009267259873844713,,,-0.005273512166306872,,,,-0.00046433440458047936,,,,,,,,,-0.0003578150419788185,,,-0.00120373647274396,,,,,,,,-0.0006836034289657057,,-0.00023121704262322283
278,2026-05-31,ASX,AU000000ASX7,22613601W,,,0.00098003323444641,0.0010547024332613745,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,,-0.001893055649443493,,-0.0011074375549244432,,,-0.0005375910460798267,0.0016285846395947695,,,,,-0.00023562501168605175,-0.0007457491952353153,,,-0.0010857230930631796,,,-0.00046433440458047936,,,0.0010648438028119647,0.0011300383213514727,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-0.00017202623124696866
279,2026-05-31,ATCO A,SE0017486889,01742001W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,-0.0005798102381803368,,,,,,-0.0010301744696971564,-0.00013830977118303083
280,2026-05-31,ATCO B,SE0017486897,01742002W,,,,,,,,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,-0.0010301744696971564,-8.435387963505819e-05
281,2026-05-31,ATD,CA01626P1484,06465502C,,,-0.00033206523386040276,,,,,,,,,,0.0011019279153477047,,-0.0005859457962563192,,0.0016285846395947695,,,,,-0.00023562501168605175,-0.0007457491952353153,0.0006651276606152812,,,,,,,0.0011476036838595266,,,,,-0.00043772235372507634,-0.00034934938641149627,,-0.0003825345612865089,,,,-0.0005782963733286909,,-0.0007508051219826733,,,,0.0013423485514235676,,3.108105324168749e-05
282,2026-05-31,ATO,US0495601058,00438301,0.0025169035339191893,,,,,-0.0025169035339191893,-0.0003865401587868912,-0.0005607278759111105,,,-0.001893055649443493,,,,,,,,,-0.0012729167297982106,-0.0012584517669595946,-0.00023562501168605175,,-0.001977567062365077,0.005402134414265577,,,,,,,,,-0.0006552884940381321,0.006514338558379078,,,-0.0003578150419788185,,-0.0009546875473486579,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,-0.0022600766427029453,-0.0014382305908109652,,-0.0010301744696971564,-0.0003630516388698962
283,2026-05-31,ATRL,CA04764T1049,01435201C,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,,,,0.0006382925388613506,,,,0.0011300383213514727,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,0.0009190353152899943,-0.0006671310571833996,,,-0.0005738018419297633,0.001925978356390336,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,,,,,,-0.0006836034289657057,,5.544661490228197e-05
284,2026-05-31,AV.,GB00BPQY8M80,01554502W,,-0.0003865401587868912,-0.00033206523386040276,,,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,-0.0010857230930631796,,,0.0009190353152899943,,,-0.0010751820921596534,-0.0005738018419297633,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,,,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,0.0010206797741239108,-0.00020942201790267851
285,2026-05-31,AVB,US0534841012,02987501,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010857230930631796,,,,,,,,,,,,,-0.0003825345612865089,,,,-0.0005782963733286909,,,,,,,,-2.871742026531691e-05
286,2026-05-31,AVGO,US11135F1012,18071101,0.0025169035339191893,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,-0.0003865401587868912,-0.0005607278759111105,0.00303407549294368,0.0024339286921416336,,0.002734413715862823,,,-0.0005859457962563192,,,-0.0011596204763606737,,-0.0012729167297982106,,0.0009267259873844713,,,,,,,-0.00046433440458047936,,,,,,,0.0012952486022508108,,,0.0014765834065659244,,,,,,,,,,,,0.00017182558304481906
287,2026-05-31,AVOL,CH0023405456,27468901W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,,,0.0011416882009530342,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,0.002734413715862823,,,0.0011300383213514727,0.0017578373887689573,0.0016285846395947695,,,0.0012656429199136494,0.0012656429199136494,-0.00023562501168605175,0.002171446186126359,,,,0.0029930744727687656,,0.0009190353152899943,0.001318378041576718,,0.0010648438028119647,0.0011300383213514727,,,,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,,,,,,0.0013423485514235676,0.0010206797741239108,0.0004191727755434579
288,2026-05-31,AVY,US0536111091,00191301,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,,,-0.0006364583648991053,,-0.0009385064024783416,,,,-0.0005375910460798267,,,,,,-0.00023562501168605175,,,,,,,,-0.0006671310571833996,,,,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,-0.0009546875473486579,-0.00120373647274396,,,,,,,,,,-0.00020547094200801862
289,2026-05-31,AWK,US0304201033,17943701,-0.0012952486022508108,,-0.00033206523386040276,,,,-0.0003865401587868912,-0.0005607278759111105,,,-0.001893055649443493,,0.0011019279153477047,,,,,,,,-0.0012584517669595946,-0.00023562501168605175,,-0.001977567062365077,,,,,,,,,,-0.0006552884940381321,-0.005402134414265577,-0.00043772235372507634,,-0.0003578150419788185,,-0.0009546875473486579,,,-0.0005782963733286909,,-0.0007508051219826733,-0.0014107484776107557,-0.0022600766427029453,,,,-0.00047868832262898495
290,2026-05-31,AXON,US05464C1018,14391201,,,,,0.0010159977568114159,0.0025169035339191893,,,,,0.0006382925388613506,,,,,,,,,-0.0012729167297982106,-0.0012584517669595946,-0.00023562501168605175,,,,,,,,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,-0.0009546875473486579,-0.00120373647274396,,,-0.0005798102381803368,,,,,-0.0006836034289657057,,-0.00016749501785527572
291,2026-05-31,AXP,US0258161092,00144701,,-0.0003865401587868912,-0.00033206523386040276,,,,-0.0003865401587868912,,,,-0.001893055649443493,,,,-0.0005859457962563192,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-0.00021301286464824772
292,2026-05-31,AYV,FR0013258662,21517902W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,-0.0003865401587868912,,,,0.0006382925388613506,,,,,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,0.0009190353152899943,,,0.0010648438028119647,0.0011300383213514727,0.001925978356390336,,-0.00043772235372507634,0.0010301744696971564,0.0010547024332613745,0.0014765834065659244,,,,,0.0011300383213514727,,,,,-0.0006836034289657057,0.0010206797741239108,0.00017284178895418025
293,2026-05-31,AZN,GB0009895292,02827201W,,0.0011476036838595266,0.00098003323444641,,,,,,-0.0007826413815720446,,,,,,-0.0005859457962563192,0.0017578373887689573,-0.0008295412396437777,-0.0011596204763606737,0.001652891873021557,,,-0.00023562501168605175,0.002171446186126359,,,,,,,,,,,,,,,,,,,-0.001118623792852973,-0.0005782963733286909,,-0.0007508051219826733,,,,,,7.242803575100172e-05
294,2026-05-31,AZO,US0533321024,02380901,,,,,,,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,,,-0.0005859457962563192,-0.0005375910460798267,,,,,-0.0012584517669595946,-0.00023562501168605175,0.002171446186126359,,,,,,-0.00046433440458047936,-0.0006671310571833996,,,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,-0.0009546875473486579,0.0023314474840514595,,,,,,,,,,-6.028465033172646e-05
295,2026-05-31,AZRG,IL0011194789,29478801W,,,,,,,,,,-0.0006364583648991053,,,,,,,,,,-0.0012729167297982106,,,-0.0007457491952353153,,,-0.0010857230930631796,,,,,0.0011476036838595266,,,,,,,,0.0014765834065659244,,,,-0.0005782963733286909,,,,,,,,-2.2628334610033814e-05
296,2026-05-31,BA,US0970231058,00228501,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,-0.0025169035339191893,0.0011416882009530342,,,,0.0006382925388613506,,,,0.0011300383213514727,,,,,0.0012656429199136494,-0.0012584517669595946,0.0009267259873844713,,0.0006651276606152812,,,,,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,0.002734413715862823,,,,0.0011300383213514727,,,,,-0.0006836034289657057,0.0010206797741239108,0.00017722569377697121
297,2026-05-31,BA.,GB0002634946,06347701W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,,,,0.0006382925388613506,,,,,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,,,,,-0.0006671310571833996,,-0.0010751820921596534,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,,-7.91106022656551e-05
298,2026-05-31,BAC,US0605051046,00764701,0.0025169035339191893,0.0011476036838595266,,,,,,0.0016406482295176937,,,0.0006382925388613506,,-0.0011074375549244432,,,-0.0005375910460798267,,,,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,,,,,,,,,,,,,,,-0.0005782963733286909,,,,,,,,6.464667029565857e-05
299,2026-05-31,BAER,CH0102484968,29285401W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,0.0011416882009530342,-0.0005607278759111105,,,,,,,,0.0017578373887689573,-0.0008295412396437777,,,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,-0.00046433440458047936,,,-0.0010751820921596534,-0.0005738018419297633,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,0.0011300383213514727,-0.0007508051219826733,,,,,,-5.012431691606666e-05
300,2026-05-31,BALD B,SE0017832488,23418101W,,,,,,,,,,-0.0006364583648991053,,,,,,,,,,-0.0012729167297982106,,,-0.0007457491952353153,,,,-0.0029930744727687656,-0.001942872903376216,,-0.0006671310571833996,,-0.0010751820921596534,,,,,,,-0.0003825345612865089,,,,0.0017037500844991435,,,,,,,0.0010206797741239108,-5.539707134476462e-05
301,2026-05-31,BALL,US0584981064,00198801,,-0.0003865401587868912,-0.00033206523386040276,,,,-0.0003865401587868912,-0.0005607278759111105,,-0.0006364583648991053,,-0.0009385064024783416,-0.0011074375549244432,,-0.0005859457962563192,-0.0005375910460798267,,,0.001652891873021557,,,-0.00023562501168605175,,,,,,0.001942872903376216,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,,,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,0.002734413715862823,,,,,,,,,,,0.00013506465587511266
302,2026-05-31,BAM,CA1130041058,04181701,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,,,,,,,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,-0.00046433440458047936,,,-0.0010751820921596534,,,,,-0.00034934938641149627,-0.0003578150419788185,,-0.0009546875473486579,-0.00120373647274396,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,0.002839583474165239,,-0.0010301744696971564,-0.00019553995221641653
303,2026-05-31,BAMI,IT0005218380,22508101W,,-0.0003865401587868912,-0.00033206523386040276,,-0.0005187061147187088,,0.0011416882009530342,,,,0.0006382925388613506,,,,,0.0017578373887689573,,,,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,-0.00046433440458047936,,,,,,,,-0.00034934938641149627,,,,,0.0022148751098488863,0.0017037500844991435,,0.0022148751098488863,,,,,,0.00011608255916313052
304,2026-05-31,BARC,GB0031348658,01267301W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,0.0011019279153477047,,,0.0017578373887689573,,,0.001652891873021557,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,0.0009190353152899943,,,,,,,,,,,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,,,0.002839583474165239,,0.0010206797741239108,0.00028806556111217853
305,2026-05-31,BARN,CH0009002962,22415901W,,,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,,,,,,,,-0.0018457292582074053,0.0011300383213514727,,0.0016285846395947695,,-0.0008326598157326641,,,0.0009267259873844713,-0.0007457491952353153,0.0006651276606152812,,,0.0029930744727687656,0.001942872903376216,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,,0.0010301744696971564,0.0010547024332613745,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,-0.0022600766427029453,,0.0013423485514235676,0.0010206797741239108,-0.00012463718182209317
306,2026-05-31,BAS,DE000BASF111,01743601W,,,,-0.0005349939878862045,,,-0.0003865401587868912,,,-0.0006364583648991053,,-0.0009385064024783416,,,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,-0.00046433440458047936,-0.0006671310571833996,,-0.0010751820921596534,0.0011300383213514727,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,,,,,-0.0005782963733286909,-0.0005798102381803368,,,,,-0.0006836034289657057,,-0.00017242466257237103
307,2026-05-31,BATS,GB0002875804,00193201W,,,-0.00033206523386040276,-0.0005349939878862045,,,,,,,,,-0.0011074375549244432,,,,-0.0008295412396437777,,,-0.0012729167297982106,-0.0012584517669595946,0.0009267259873844713,,0.0006651276606152812,,,-0.0029930744727687656,-0.001942872903376216,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,,,-0.0014382305908109652,-0.0006836034289657057,,1.4921249852525725e-05
308,2026-05-31,BAYN,DE000BAY0017,10008001W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,,,-0.0007826413815720446,,,,-0.0011074375549244432,-0.0018457292582074053,,-0.0005375910460798267,,-0.0011596204763606737,,,,-0.00023562501168605175,0.002171446186126359,,,,-0.0029930744727687656,0.001942872903376216,-0.00046433440458047936,-0.0006671310571833996,,-0.0010751820921596534,-0.0005738018419297633,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,0.0017037500844991435,-0.0005798102381803368,-0.0007508051219826733,,,,0.0013423485514235676,0.0010206797741239108,-0.00015059874337602715
309,2026-05-31,BBD.B,CA0977518616,01407801C,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,0.0011416882009530342,,,,0.0006382925388613506,,,,0.0011300383213514727,,,,,0.0012656429199136494,-0.0012584517669595946,0.0009267259873844713,,0.0006651276606152812,,,,,,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,0.0014765834065659244,,,,,,,,,,0.0013423485514235676,,0.00038328270013361074
310,2026-05-31,BBVA,ES0113211835,01518103W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,,,,0.0006382925388613506,,,,0.0011300383213514727,0.0017578373887689573,0.0016285846395947695,,,,,-0.00023562501168605175,,,,-0.0010857230930631796,,,-0.00046433440458047936,,,,,,,,-0.00034934938641149627,,,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,,,,,,0.00012387849221862657
311,2026-05-31,BBY,US0865161014,00218401,-0.0012952486022508108,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,,0.0016406482295176937,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,0.0011019279153477047,0.001830475297395774,-0.0005859457962563192,-0.0005375910460798267,,,,0.0012656429199136494,0.0012656429199136494,-0.00023562501168605175,,,-0.005273512166306872,,,,,-0.0006671310571833996,,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,-0.005402134414265577,,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,-0.0009546875473486579,-0.00120373647274396,,,,,,,,,0.0010206797741239108,3.630799115494513e-05
312,2026-05-31,BCE,CA05534B7604,00213701C,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,,0.0016406482295176937,,-0.0006364583648991053,,-0.0009385064024783416,,,,,,,-0.0008326598157326641,,,0.0009267259873844713,,,-0.005273512166306872,,,0.001942872903376216,-0.00046433440458047936,,,,,,,,0.0010301744696971564,0.0010547024332613745,,,,,,,,,,,-0.0006836034289657057,,1.965722761420748e-05
313,2026-05-31,BCP,PTBCP0AM0015,02384802W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,,,0.0011300383213514727,-0.0005375910460798267,0.0016285846395947695,,0.001652891873021557,,,-0.00023562501168605175,0.002171446186126359,,,0.0031641072997841235,,,,,,,,,,,-0.00034934938641149627,,,,,,0.0017037500844991435,0.0011300383213514727,-0.0007508051219826733,,,-0.0014382305908109652,,,8.186925524617947e-05
314,2026-05-31,BCVN,CH0531751755,01553102W,,,,,,,,,,,0.0006382925388613506,,,,,0.0017578373887689573,,,0.001652891873021557,,,-0.00023562501168605175,0.002171446186126359,,,-0.0010857230930631796,,,-0.00046433440458047936,,,,,,,,-0.00034934938641149627,,,,,-0.001118623792852973,-0.0005782963733286909,,-0.0007508051219826733,,,-0.0014382305908109652,,,1.3117075082067943e-05
